MEASURE,Interstate Migration,SEX_ABS,Sex,AGE,Age,ASGS_2011,Region,FREQUENCY,Frequency,TIME,Time,Value
1,NIM Arrivals,1,Males,A04,0 - 4,0,Australia,A,Annual,2017,2017,16070
1,NIM Arrivals,2,Females,A04,0 - 4,0,Australia,A,Annual,2017,2017,14890
1,NIM Arrivals,3,Persons,A04,0 - 4,0,Australia,A,Annual,2017,2017,30960
2,NIM Departures,1,Males,A04,0 - 4,0,Australia,A,Annual,2017,2017,16070
2,NIM Departures,2,Females,A04,0 - 4,0,Australia,A,Annual,2017,2017,14890
2,NIM Departures,3,Persons,A04,0 - 4,0,Australia,A,Annual,2017,2017,30960
3,NET Interstate,1,Males,A04,0 - 4,0,Australia,A,Annual,2017,2017,0
3,NET Interstate,2,Females,A04,0 - 4,0,Australia,A,Annual,2017,2017,0
3,NET Interstate,3,Persons,A04,0 - 4,0,Australia,A,Annual,2017,2017,0
1,NIM Arrivals,1,Males,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,3940
1,NIM Arrivals,2,Females,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,3620
1,NIM Arrivals,3,Persons,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,7560
2,NIM Departures,1,Males,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,5050
2,NIM Departures,2,Females,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,4720
2,NIM Departures,3,Persons,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,9770
3,NET Interstate,1,Males,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,-1110
3,NET Interstate,2,Females,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,-1100
3,NET Interstate,3,Persons,A04,0 - 4,1,New South Wales,A,Annual,2017,2017,-2210
1,NIM Arrivals,1,Males,A04,0 - 4,2,Victoria,A,Annual,2017,2017,3520
1,NIM Arrivals,2,Females,A04,0 - 4,2,Victoria,A,Annual,2017,2017,3260
1,NIM Arrivals,3,Persons,A04,0 - 4,2,Victoria,A,Annual,2017,2017,6780
2,NIM Departures,1,Males,A04,0 - 4,2,Victoria,A,Annual,2017,2017,2910
2,NIM Departures,2,Females,A04,0 - 4,2,Victoria,A,Annual,2017,2017,2670
2,NIM Departures,3,Persons,A04,0 - 4,2,Victoria,A,Annual,2017,2017,5580
3,NET Interstate,1,Males,A04,0 - 4,2,Victoria,A,Annual,2017,2017,610
3,NET Interstate,2,Females,A04,0 - 4,2,Victoria,A,Annual,2017,2017,600
3,NET Interstate,3,Persons,A04,0 - 4,2,Victoria,A,Annual,2017,2017,1200
1,NIM Arrivals,1,Males,A04,0 - 4,3,Queensland,A,Annual,2017,2017,4570
1,NIM Arrivals,2,Females,A04,0 - 4,3,Queensland,A,Annual,2017,2017,4330
1,NIM Arrivals,3,Persons,A04,0 - 4,3,Queensland,A,Annual,2017,2017,8900
2,NIM Departures,1,Males,A04,0 - 4,3,Queensland,A,Annual,2017,2017,3310
2,NIM Departures,2,Females,A04,0 - 4,3,Queensland,A,Annual,2017,2017,3000
2,NIM Departures,3,Persons,A04,0 - 4,3,Queensland,A,Annual,2017,2017,6310
3,NET Interstate,1,Males,A04,0 - 4,3,Queensland,A,Annual,2017,2017,1270
3,NET Interstate,2,Females,A04,0 - 4,3,Queensland,A,Annual,2017,2017,1320
3,NET Interstate,3,Persons,A04,0 - 4,3,Queensland,A,Annual,2017,2017,2590
1,NIM Arrivals,1,Males,A04,0 - 4,4,South Australia,A,Annual,2017,2017,940
1,NIM Arrivals,2,Females,A04,0 - 4,4,South Australia,A,Annual,2017,2017,940
1,NIM Arrivals,3,Persons,A04,0 - 4,4,South Australia,A,Annual,2017,2017,1880
2,NIM Departures,1,Males,A04,0 - 4,4,South Australia,A,Annual,2017,2017,1100
