MEASURE,Measure,AGE,Age,ASGS_2011,Region,FREQUENCY,Frequency,TIME,Time,Value
1,Births,A15,15 - 19,0,Australia,A,Annual,2017,2017,7401
2,Female population,A15,15 - 19,0,Australia,A,Annual,2017,2017,722532
11,Fertility rate,A15,15 - 19,0,Australia,A,Annual,2017,2017,10.2
1,Births,A15,15 - 19,1,New South Wales,A,Annual,2017,2017,2079
2,Female population,A15,15 - 19,1,New South Wales,A,Annual,2017,2017,227743
11,Fertility rate,A15,15 - 19,1,New South Wales,A,Annual,2017,2017,9.1
1,Births,A15,15 - 19,2,Victoria,A,Annual,2017,2017,1165
2,Female population,A15,15 - 19,2,Victoria,A,Annual,2017,2017,182903
11,Fertility rate,A15,15 - 19,2,Victoria,A,Annual,2017,2017,6.4
1,Births,A15,15 - 19,3,Queensland,A,Annual,2017,2017,2250
2,Female population,A15,15 - 19,3,Queensland,A,Annual,2017,2017,151502
11,Fertility rate,A15,15 - 19,3,Queensland,A,Annual,2017,2017,14.9
1,Births,A15,15 - 19,4,South Australia,A,Annual,2017,2017,442
2,Female population,A15,15 - 19,4,South Australia,A,Annual,2017,2017,50495
11,Fertility rate,A15,15 - 19,4,South Australia,A,Annual,2017,2017,8.8
1,Births,A15,15 - 19,5,Western Australia,A,Annual,2017,2017,950
2,Female population,A15,15 - 19,5,Western Australia,A,Annual,2017,2017,75266
11,Fertility rate,A15,15 - 19,5,Western Australia,A,Annual,2017,2017,12.6
1,Births,A15,15 - 19,6,Tasmania,A,Annual,2017,2017,223
2,Female population,A15,15 - 19,6,Tasmania,A,Annual,2017,2017,15221
11,Fertility rate,A15,15 - 19,6,Tasmania,A,Annual,2017,2017,14.7
1,Births,A15,15 - 19,7,Northern Territory,A,Annual,2017,2017,227
2,Female population,A15,15 - 19,7,Northern Territory,A,Annual,2017,2017,7097
11,Fertility rate,A15,15 - 19,7,Northern Territory,A,Annual,2017,2017,32
1,Births,A15,15 - 19,8,Australian Capital Territory,A,Annual,2017,2017,65
2,Female population,A15,15 - 19,8,Australian Capital Territory,A,Annual,2017,2017,12196
11,Fertility rate,A15,15 - 19,8,Australian Capital Territory,A,Annual,2017,2017,5.3
1,Births,A20,20 - 24,0,Australia,A,Annual,2017,2017,36117
