MEASURE,Measure,STATE,State,SEX_ABS,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Value
3,Percentage change over previous year,0,Australia,1,Males,A40,40 - 44,Q,Quarterly,2018-Q2,Jun-18,-0.6
2,Change over previous year,0,Australia,2,Females,A59,5 - 9,Q,Quarterly,2018-Q2,Jun-18,8210
2,Change over previous year,7,Northern Territory,3,Persons,A04,0 - 4,Q,Quarterly,2018-Q2,Jun-18,-463
2,Change over previous year,5,Western Australia,3,Persons,A15,15 - 19,Q,Quarterly,2018-Q2,Jun-18,-86
2,Change over previous year,7,Northern Territory,1,Males,A59,5 - 9,Q,Quarterly,2018-Q2,Jun-18,-99
1,Estimated Resident Population,7,Northern Territory,3,Persons,A55,55 - 59,Q,Quarterly,2018-Q2,Jun-18,14164
1,Estimated Resident Population,4,South Australia,3,Persons,A65,65 - 69,Q,Quarterly,2018-Q2,Jun-18,95622
2,Change over previous year,3,Queensland,2,Females,A40,40 - 44,Q,Quarterly,2018-Q2,Jun-18,-1395
1,Estimated Resident Population,1,New South Wales,3,Persons,A55,55 - 59,Q,Quarterly,2018-Q2,Jun-18,490735
3,Percentage change over previous year,6,Tasmania,1,Males,A15,15 - 19,Q,Quarterly,2018-Q2,Jun-18,-0.9
2,Change over previous year,2,Victoria,1,Males,A45,45 - 49,Q,Quarterly,2018-Q2,Jun-18,2637
2,Change over previous year,5,Western Australia,3,Persons,A50,50 - 54,Q,Quarterly,2018-Q2,Jun-18,-574
1,Estimated Resident Population,2,Victoria,1,Males,A30,30 - 34,Q,Quarterly,2018-Q2,Jun-18,250344
3,Percentage change over previous year,2,Victoria,3,Persons,A65,65 - 69,Q,Quarterly,2018-Q2,Jun-18,1.2
2,Change over previous year,7,Northern Territory,2,Females,A75,75 - 79,Q,Quarterly,2018-Q2,Jun-18,91
3,Percentage change over previous year,6,Tasmania,1,Males,A50,50 - 54,Q,Quarterly,2018-Q2,Jun-18,-1.6
2,Change over previous year,1,New South Wales,2,Females,A55,55 - 59,Q,Quarterly,2018-Q2,Jun-18,2652
2,Change over previous year,6,Tasmania,2,Females,A59,5 - 9,Q,Quarterly,2018-Q2,Jun-18,-67
2,Change over previous year,4,South Australia,3,Persons,A04,0 - 4,Q,Quarterly,2018-Q2,Jun-18,-1440
2,Change over previous year,8,Australian Capital Territory,3,Persons,A15,15 - 19,Q,Quarterly,2018-Q2,Jun-18,5
1,Estimated Resident Population,4,South Australia,3,Persons,A55,55 - 59,Q,Quarterly,2018-Q2,Jun-18,114512
3,Percentage change over previous year,3,Queensland,1,Males,A50,50 - 54,Q,Quarterly,2018-Q2,Jun-18,-0.2
2,Change over previous year,8,Australian Capital Territory,1,Males,A55,55 - 59,Q,Quarterly,2018-Q2,Jun-18,98
1,Estimated Resident Population,7,Northern Territory,3,Persons,A65,65 - 69,Q,Quarterly,2018-Q2,Jun-18,8113
2,Change over previous year,6,Tasmania,2,Females,A50,50 - 54,Q,Quarterly,2018-Q2,Jun-18,-199
