start_age,cause,year,number,rate
0,"Total, all causes of death  [A00-Y89]",2012,1818,483
0,"Total, all causes of death  [A00-Y89]",2013,1884,492
0,"Total, all causes of death  [A00-Y89]",2014,1794,471
0,"Total, all causes of death  [A00-Y89]",2015,1737,454
0,"Total, all causes of death  [A00-Y89]",2016,1741,450
0,Salmonella infections  [A01-A02],2012,0,0
0,Salmonella infections  [A01-A02],2013,1,0
0,Salmonella infections  [A01-A02],2014,0,0
0,Salmonella infections  [A01-A02],2015,0,0
0,Salmonella infections  [A01-A02],2016,0,0
0,"Shigellosis and amoebiasis  [A03, A06]",2012,0,0
0,"Shigellosis and amoebiasis  [A03, A06]",2013,0,0
0,"Shigellosis and amoebiasis  [A03, A06]",2014,0,0
0,"Shigellosis and amoebiasis  [A03, A06]",2015,0,0
0,"Shigellosis and amoebiasis  [A03, A06]",2016,0,0
0,"Certain other intestinal infections  [A04, A07-A09]",2012,5,1
0,"Certain other intestinal infections  [A04, A07-A09]",2013,4,1
0,"Certain other intestinal infections  [A04, A07-A09]",2014,3,1
0,"Certain other intestinal infections  [A04, A07-A09]",2015,2,1
0,"Certain other intestinal infections  [A04, A07-A09]",2016,3,1
0,Tuberculosis  [A16-A19],2012,0,0
0,Tuberculosis  [A16-A19],2013,0,0
0,Tuberculosis  [A16-A19],2014,0,0
0,Tuberculosis  [A16-A19],2015,0,0
0,Tuberculosis  [A16-A19],2016,0,0
0,Whooping cough  [A37],2012,3,1
0,Whooping cough  [A37],2013,1,0
0,Whooping cough  [A37],2014,2,1
0,Whooping cough  [A37],2015,0,0
0,Whooping cough  [A37],2016,0,0
0,"Scarlet fever and erysipelas  [A38, A46]",2012,0,0
0,"Scarlet fever and erysipelas  [A38, A46]",2013,0,0
0,"Scarlet fever and erysipelas  [A38, A46]",2014,0,0
0,"Scarlet fever and erysipelas  [A38, A46]",2015,0,0
0,"Scarlet fever and erysipelas  [A38, A46]",2016,0,0
0,Meningococcal infection  [A39],2012,4,1
0,Meningococcal infection  [A39],2013,2,1
0,Meningococcal infection  [A39],2014,2,1
0,Meningococcal infection  [A39],2015,1,0
0,Meningococcal infection  [A39],2016,0,0
0,Sepsis  [A40-A41],2012,8,2
0,Sepsis  [A40-A41],2013,11,3
0,Sepsis  [A40-A41],2014,5,1
0,Sepsis  [A40-A41],2015,4,1
0,Sepsis  [A40-A41],2016,2,1
0,Syphilis  [A50-A53],2012,0,0
0,Syphilis  [A50-A53],2013,0,0
0,Syphilis  [A50-A53],2014,0,0
0,Syphilis  [A50-A53],2015,0,0
0,Syphilis  [A50-A53],2016,0,0
0,Acute poliomyelitis  [A80],2012,0,0
0,Acute poliomyelitis  [A80],2013,0,0
0,Acute poliomyelitis  [A80],2014,0,0
0,Acute poliomyelitis  [A80],2015,0,0
0,Acute poliomyelitis  [A80],2016,0,0
0,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2012,0,0
0,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2013,0,0
0,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2014,0,0
0,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2015,0,0
0,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2016,0,0
0,Measles  [B05],2012,0,0
0,Measles  [B05],2013,0,0
0,Measles  [B05],2014,0,0
0,Measles  [B05],2015,0,0
0,Measles  [B05],2016,0,0
0,Viral hepatitis  [B15-B19],2012,0,0
0,Viral hepatitis  [B15-B19],2013,0,0
0,Viral hepatitis  [B15-B19],2014,0,0
0,Viral hepatitis  [B15-B19],2015,0,0
0,Viral hepatitis  [B15-B19],2016,0,0
0,Human immunodeficiency virus [HIV] disease  [B20-B24],2012,0,0
0,Human immunodeficiency virus [HIV] disease  [B20-B24],2013,0,0
0,Human immunodeficiency virus [HIV] disease  [B20-B24],2014,0,0
0,Human immunodeficiency virus [HIV] disease  [B20-B24],2015,0,0
0,Human immunodeficiency virus [HIV] disease  [B20-B24],2016,0,0
0,Malaria  [B50-B54],2012,0,0
0,Malaria  [B50-B54],2013,0,0
0,Malaria  [B50-B54],2014,0,0
0,Malaria  [B50-B54],2015,0,0
0,Malaria  [B50-B54],2016,0,0
0,Other and unspecified infectious and parasitic diseases and their sequelae 27,2012,9,2
0,Other and unspecified infectious and parasitic diseases and their sequelae 27,2013,2,1
0,Other and unspecified infectious and parasitic diseases and their sequelae 27,2014,4,1
0,Other and unspecified infectious and parasitic diseases and their sequelae 27,2015,9,2
0,Other and unspecified infectious and parasitic diseases and their sequelae 27,2016,4,1
0,Malignant neoplasms  [C00-C97],2012,15,4
0,Malignant neoplasms  [C00-C97],2013,8,2
0,Malignant neoplasms  [C00-C97],2014,8,2
0,Malignant neoplasms  [C00-C97],2015,7,2
0,Malignant neoplasms  [C00-C97],2016,4,1
