Canada, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 09/03/2016
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1944     2.998     0.883     0.687     0.435     0.279     0.714     2.819     0.875     0.676     0.422     0.265     0.581
1945     2.999     0.859     0.691     0.448     0.284     0.717     2.816     0.851     0.680     0.434     0.270     0.581
1946     3.359     1.033     0.796     0.498     0.304     0.728     3.172     1.023     0.784     0.484     0.290     0.593
1947     3.580     1.173     0.853     0.526     0.317     0.711     3.397     1.162     0.840     0.510     0.302     0.582
1948     3.421     1.026     0.850     0.530     0.321     0.694     3.246     1.016     0.838     0.515     0.305     0.572
1949     3.440     0.980     0.879     0.559     0.332     0.690     3.270     0.971     0.866     0.543     0.316     0.574
1950     3.431     0.954     0.867     0.577     0.344     0.689     3.267     0.945     0.855     0.562     0.327     0.578
1951     3.478     0.976     0.866     0.591     0.360     0.685     3.313     0.967     0.854     0.574     0.344     0.576
1952     3.624     1.033     0.873     0.625     0.387     0.705     3.461     1.024     0.861     0.609     0.370     0.597
1953     3.702     1.044     0.901     0.640     0.399     0.718     3.538     1.034     0.888     0.622     0.381     0.612
1954     3.815     1.069     0.919     0.661     0.414     0.753     3.642     1.060     0.906     0.642     0.395     0.640
1955     3.820     1.047     0.916     0.669     0.427     0.761     3.649     1.038     0.903     0.652     0.407     0.649
1956     3.841     1.043     0.920     0.676     0.433     0.769     3.677     1.035     0.909     0.659     0.415     0.660
1957     3.930     1.082     0.928     0.694     0.445     0.782     3.766     1.074     0.916     0.676     0.426     0.673
1958     3.893     1.062     0.920     0.684     0.448     0.779     3.739     1.055     0.909     0.669     0.429     0.677
1959     3.943     1.052     0.940     0.699     0.462     0.790     3.791     1.045     0.930     0.683     0.443     0.689
1960     3.909     1.025     0.925     0.706     0.461     0.792     3.759     1.018     0.916     0.691     0.443     0.692
1961     3.853     0.988     0.902     0.701     0.464     0.798     3.702     0.982     0.892     0.686     0.446     0.696
1962     3.770     0.953     0.882     0.683     0.461     0.791     3.626     0.947     0.873     0.669     0.444     0.693
1963     3.680     0.932     0.854     0.672     0.449     0.773     3.544     0.926     0.846     0.659     0.433     0.681
1964     3.512     0.918     0.827     0.640     0.422     0.705     3.378     0.913     0.818     0.626     0.405     0.616
1965     3.149     0.879     0.750     0.555     0.365     0.600     3.031     0.874     0.742     0.542     0.350     0.523
1966     2.815     0.857     0.697     0.477     0.300     0.485     2.712     0.852     0.689     0.467     0.287     0.418
1967     2.596     0.852     0.662     0.424     0.258     0.400     2.509     0.848     0.656     0.414     0.246     0.345
1968     2.455     0.843     0.652     0.396     0.227     0.337     2.379     0.839     0.646     0.388     0.217     0.290
1969     2.404     0.840     0.653     0.391     0.216     0.304     2.336     0.836     0.647     0.383     0.207     0.263
1970     2.312     0.838     0.639     0.376     0.196     0.264     2.251     0.834     0.634     0.368     0.187     0.227
1971     2.138     0.794     0.617     0.341     0.171     0.216     2.088     0.790     0.612     0.335     0.165     0.187
1972     1.965     0.758     0.601     0.301     0.140     0.165     1.924     0.755     0.596     0.296     0.135     0.142
1973     1.875     0.755     0.601     0.276     0.117     0.126     1.842     0.752     0.598     0.271     0.112     0.108
1974     1.830     0.753     0.609     0.266     0.104     0.098     1.801     0.750     0.606     0.262     0.100     0.084
1975     1.832     0.755     0.621     0.273     0.099     0.084     1.806     0.752     0.618     0.269     0.096     0.072
1976     1.782     0.735     0.620     0.265     0.090     0.071     1.759     0.733     0.616     0.262     0.087     0.061
1977     1.750     0.748     0.604     0.258     0.082     0.058     1.731     0.746     0.600     0.255     0.079     0.050
1978     1.697     0.730     0.591     0.248     0.077     0.051     1.678     0.727     0.588     0.245     0.074     0.044
1979     1.695     0.727     0.591     0.256     0.076     0.046     1.678     0.725     0.588     0.253     0.073     0.040
1980     1.680     0.734     0.584     0.248     0.073     0.041     1.664     0.732     0.581     0.245     0.071     0.036
1981     1.652     0.727     0.572     0.241     0.072     0.040     1.635     0.725     0.569     0.238     0.069     0.035
1982     1.637     0.725     0.561     0.239     0.072     0.039     1.621     0.722     0.558     0.236     0.070     0.034
1983     1.621     0.721     0.559     0.234     0.070     0.036     1.606     0.719     0.555     0.231     0.068     0.032
1984     1.625     0.713     0.571     0.236     0.070     0.036     1.610     0.710     0.567     0.233     0.068     0.032
1985     1.611     0.701     0.569     0.236     0.070     0.034     1.595     0.699     0.565     0.232     0.068     0.031
1986     1.594     0.695     0.562     0.234     0.069     0.034     1.578     0.692     0.558     0.230     0.067     0.030
1987     1.576     0.688     0.558     0.229     0.068     0.034     1.559     0.684     0.554     0.225     0.066     0.030
1988     1.599     0.712     0.555     0.231     0.068     0.034     1.581     0.708     0.550     0.227     0.066     0.031
1989     1.659     0.746     0.567     0.240     0.071     0.034     1.640     0.742     0.563     0.236     0.069     0.031
1990     1.715     0.779     0.586     0.242     0.073     0.036     1.696     0.774     0.580     0.238     0.070     0.033
1991     1.714     0.775     0.584     0.244     0.074     0.036     1.694     0.771     0.578     0.240     0.072     0.033
1992     1.711     0.765     0.594     0.243     0.073     0.037     1.690     0.760     0.587     0.238     0.070     0.034
1993     1.682     0.755     0.583     0.236     0.072     0.037     1.660     0.750     0.576     0.231     0.069     0.034
