Japan, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 23/11/2018
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1968     27.77     25.88     28.58     30.71     32.55     35.79     27.68     25.83     28.53     30.61     32.20     34.38
1969     27.78     25.85     28.52     30.73     32.53     35.68     27.69     25.80     28.47     30.63     32.20     34.30
1970     27.75     25.81     28.47     30.76     32.55     35.51     27.65     25.75     28.41     30.66     32.22     34.18
1971     27.73     25.75     28.41     30.73     32.54     35.35     27.64     25.70     28.36     30.63     32.23     34.09
1972     27.66     25.68     28.35     30.68     32.50     35.38     27.57     25.62     28.30     30.58     32.17     34.15
1973     27.64     25.65     28.28     30.64     32.45     35.15     27.55     25.59     28.22     30.54     32.15     34.08
1974     27.55     25.63     28.19     30.58     32.48     35.29     27.46     25.58     28.14     30.49     32.16     34.09
1975     27.48     25.69     28.17     30.51     32.45     35.25     27.40     25.64     28.12     30.40     32.12     34.09
1976     27.50     25.76     28.16     30.43     32.34     35.27     27.42     25.72     28.11     30.34     32.00     34.07
1977     27.59     25.88     28.22     30.40     32.33     35.28     27.51     25.83     28.18     30.30     32.00     34.06
1978     27.66     25.96     28.29     30.40     32.37     35.18     27.58     25.91     28.24     30.31     32.02     34.00
1979     27.71     26.02     28.37     30.43     32.30     35.33     27.64     25.98     28.33     30.34     31.96     34.08
1980     27.76     26.07     28.44     30.52     32.36     35.21     27.69     26.03     28.40     30.43     32.03     33.96
1981     27.84     26.16     28.54     30.63     32.40     35.16     27.77     26.12     28.50     30.55     32.05     33.93
1982     27.93     26.24     28.60     30.74     32.51     35.18     27.86     26.20     28.55     30.65     32.17     33.98
1983     28.02     26.30     28.69     30.87     32.61     35.13     27.95     26.26     28.64     30.78     32.30     33.94
1984     28.13     26.38     28.75     30.95     32.74     35.09     28.05     26.34     28.70     30.86     32.42     33.98
1985     28.26     26.50     28.83     31.02     32.84     35.10     28.19     26.46     28.78     30.93     32.52     34.04
1986     28.38     26.64     28.92     31.12     32.95     35.06     28.31     26.60     28.87     31.03     32.63     33.96
1987     28.52     26.79     29.03     31.23     33.00     35.25     28.45     26.74     28.97     31.14     32.68     34.20
1988     28.68     26.91     29.17     31.35     33.21     35.27     28.59     26.85     29.11     31.25     32.88     34.20
1989     28.81     27.03     29.32     31.50     33.32     35.29     28.72     26.98     29.25     31.39     32.97     34.28
1990     28.94     27.15     29.46     31.62     33.43     35.34     28.84     27.09     29.39     31.51     33.10     34.36
1991     29.00     27.23     29.58     31.76     33.53     35.36     28.90     27.17     29.50     31.63     33.16     34.39
1992     29.09     27.37     29.68     31.87     33.68     35.43     28.99     27.31     29.60     31.74     33.29     34.45
1993     29.19     27.51     29.79     32.00     33.78     35.54     29.08     27.44     29.70     31.85     33.36     34.55
1994     29.29     27.64     29.90     32.09     33.88     35.64     29.18     27.57     29.81     31.93     33.44     34.60
1995     29.39     27.75     30.00     32.16     33.96     35.73     29.26     27.68     29.91     31.98     33.48     34.65
1996     29.50     27.88     30.14     32.23     34.01     35.72     29.37     27.80     30.04     32.05     33.50     34.66
1997     29.57     27.94     30.25     32.32     34.05     35.72     29.42     27.85     30.15     32.11     33.53     34.58
1998     29.61     27.98     30.38     32.39     34.12     35.90     29.46     27.88     30.26     32.17     33.54     34.65
1999     29.63     27.99     30.48     32.46     34.17     35.80     29.47     27.89     30.35     32.23     33.58     34.57
2000     29.67     28.03     30.53     32.54     34.28     35.79     29.49     27.91     30.40     32.29     33.65     34.57
2001     29.67     28.05     30.54     32.59     34.33     35.80     29.49     27.93     30.39     32.33     33.68     34.59
2002     29.71     28.14     30.59     32.64     34.35     35.94     29.51     28.01     30.43     32.35     33.65     34.61
2003     29.82     28.35     30.60     32.61     34.33     35.91     29.60     28.20     30.43     32.30     33.61     34.65
2004     29.91     28.50     30.68     32.59     34.25     35.92     29.69     28.34     30.49     32.26     33.52     34.59
2005     30.00     28.63     30.75     32.52     34.20     35.85     29.75     28.45     30.55     32.19     33.46     34.48
2006     30.09     28.71     30.88     32.55     34.12     35.77     29.84     28.53     30.66     32.19     33.34     34.39
2007     30.23     28.85     31.02     32.59     34.03     35.63     29.95     28.65     30.78     32.22     33.24     34.25
2008     30.29     28.92     31.08     32.58     33.93     35.55     30.00     28.70     30.82     32.20     33.13     34.18
2009     30.40     29.09     31.19     32.63     33.88     35.33     30.09     28.85     30.91     32.23     33.12     33.97
2010     30.53     29.27     31.26     32.66     33.80     35.19     30.20     29.00     30.95     32.25     33.06     33.90
2011     30.63     29.37     31.35     32.67     33.74     35.00     30.28     29.09     31.03     32.26     32.99     33.72
2012     30.81     29.58     31.52     32.74     33.72     34.94     30.44     29.26     31.17     32.32     32.99     33.71
2013     30.96     29.74     31.67     32.81     33.75     34.88     30.56     29.40     31.30     32.38     33.04     33.72
2014     31.07     29.86     31.82     32.89     33.76     34.92     30.66     29.50     31.43     32.44     33.05     33.80
2015     31.20     30.00     31.95     33.02     33.81     34.94     30.77     29.62     31.54     32.56     33.10     33.82
2016     31.29     30.07     32.04     33.13     33.91     35.00     30.84     29.67     31.60     32.66     33.19     33.94
