Japan, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 23/11/2018
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1968     2.139     0.968     0.846     0.257     0.047     0.021     2.124     0.965     0.843     0.254     0.045     0.017
1969     2.135     0.946     0.847     0.275     0.048     0.020     2.121     0.942     0.844     0.272     0.047     0.016
1970     2.144     0.948     0.847     0.284     0.047     0.019     2.130     0.944     0.843     0.281     0.046     0.016
1971     2.169     0.937     0.868     0.298     0.049     0.018     2.155     0.933     0.864     0.295     0.047     0.015
1972     2.155     0.942     0.843     0.303     0.049     0.018     2.141     0.939     0.840     0.300     0.047     0.015
1973     2.149     0.931     0.836     0.312     0.051     0.019     2.135     0.928     0.832     0.309     0.050     0.016
1974     2.052     0.907     0.798     0.285     0.046     0.017     2.040     0.904     0.795     0.282     0.044     0.014
1975     1.909     0.859     0.762     0.237     0.037     0.015     1.898     0.856     0.760     0.234     0.036     0.012
1976     1.847     0.823     0.748     0.227     0.035     0.014     1.836     0.821     0.745     0.225     0.033     0.012
1977     1.791     0.787     0.734     0.226     0.033     0.012     1.781     0.784     0.731     0.224     0.032     0.011
1978     1.779     0.779     0.728     0.229     0.032     0.011     1.770     0.777     0.726     0.227     0.030     0.010
1979     1.755     0.776     0.708     0.231     0.031     0.010     1.747     0.774     0.705     0.229     0.030     0.009
1980     1.734     0.781     0.685     0.228     0.030     0.010     1.726     0.779     0.683     0.227     0.029     0.008
1981     1.729     0.788     0.673     0.228     0.031     0.009     1.720     0.786     0.671     0.227     0.030     0.008
1982     1.757     0.794     0.684     0.237     0.032     0.009     1.748     0.792     0.682     0.235     0.031     0.008
1983     1.790     0.807     0.692     0.247     0.034     0.009     1.781     0.805     0.690     0.245     0.033     0.008
1984     1.801     0.797     0.701     0.258     0.036     0.010     1.792     0.795     0.698     0.256     0.035     0.008
1985     1.758     0.761     0.692     0.261     0.036     0.009     1.749     0.759     0.689     0.258     0.034     0.008
1986     1.720     0.743     0.673     0.259     0.036     0.009     1.710     0.741     0.670     0.257     0.035     0.008
1987     1.691     0.724     0.661     0.261     0.036     0.009     1.681     0.722     0.658     0.259     0.034     0.007
1988     1.659     0.703     0.647     0.263     0.037     0.009     1.648     0.700     0.644     0.260     0.036     0.008
1989     1.577     0.675     0.606     0.251     0.037     0.008     1.566     0.672     0.603     0.248     0.035     0.007
1990     1.544     0.665     0.587     0.246     0.038     0.008     1.532     0.663     0.584     0.243     0.036     0.007
1991     1.538     0.683     0.573     0.237     0.037     0.008     1.526     0.680     0.570     0.234     0.035     0.007
1992     1.507     0.679     0.558     0.225     0.036     0.008     1.494     0.676     0.554     0.222     0.035     0.007
1993     1.465     0.671     0.540     0.212     0.035     0.008     1.452     0.668     0.536     0.208     0.033     0.007
1994     1.508     0.698     0.552     0.212     0.036     0.009     1.493     0.695     0.548     0.208     0.034     0.008
1995     1.426     0.663     0.522     0.197     0.035     0.009     1.411     0.659     0.517     0.194     0.033     0.008
1996     1.430     0.662     0.534     0.192     0.034     0.009     1.415     0.658     0.529     0.189     0.031     0.008
1997     1.394     0.652     0.517     0.184     0.032     0.009     1.378     0.648     0.512     0.180     0.030     0.007
1998     1.392     0.661     0.512     0.179     0.031     0.008     1.375     0.657     0.507     0.175     0.029     0.007
1999     1.352     0.655     0.492     0.167     0.029     0.008     1.334     0.650     0.486     0.163     0.027     0.007
2000     1.362     0.662     0.496     0.165     0.030     0.008     1.342     0.657     0.490     0.161     0.027     0.007
2001     1.339     0.657     0.486     0.159     0.029     0.008     1.318     0.651     0.479     0.155     0.026     0.007
2002     1.324     0.661     0.477     0.151     0.027     0.008     1.302     0.655     0.470     0.146     0.025     0.007
2003     1.297     0.641     0.476     0.145     0.026     0.008     1.274     0.634     0.469     0.140     0.024     0.007
2004     1.295     0.640     0.479     0.143     0.026     0.008     1.270     0.632     0.470     0.138     0.024     0.006
2005     1.256     0.621     0.463     0.139     0.025     0.007     1.230     0.613     0.454     0.134     0.023     0.006
2006     1.310     0.648     0.479     0.148     0.026     0.008     1.282     0.639     0.470     0.143     0.024     0.006
2007     1.326     0.654     0.480     0.156     0.028     0.008     1.295     0.644     0.470     0.150     0.025     0.007
2008     1.352     0.665     0.487     0.162     0.030     0.009     1.318     0.654     0.476     0.155     0.027     0.007
2009     1.351     0.671     0.482     0.160     0.030     0.009     1.315     0.659     0.469     0.153     0.027     0.007
2010     1.380     0.680     0.493     0.166     0.032     0.010     1.340     0.666     0.479     0.158     0.029     0.008
2011     1.384     0.674     0.496     0.170     0.033     0.010     1.341     0.659     0.480     0.163     0.030     0.008
2012     1.394     0.673     0.505     0.172     0.034     0.010     1.347     0.656     0.488     0.164     0.031     0.009
2013     1.413     0.681     0.512     0.174     0.035     0.011     1.363     0.662     0.493     0.166     0.032     0.009
2014     1.408     0.685     0.503     0.174     0.035     0.011     1.355     0.665     0.483     0.166     0.032     0.009
2015     1.442     0.705     0.513     0.178     0.035     0.011     1.386     0.683     0.491     0.169     0.032     0.009
2016     1.432     0.693     0.513     0.178     0.036     0.011     1.373     0.670     0.491     0.169     0.033     0.010
