Canada-Ontario, Life tables (period 1x1), Total     Last modified: 31-Jul-2014, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0     0.11376  0.10569  0.33  100000   10569   92905  5801139  58.01
  1921           1     0.01370  0.01360  0.50   89431    1217   88823  5708235  63.83
  1921           2     0.00631  0.00629  0.50   88215     554   87938  5619412  63.70
  1921           3     0.00464  0.00462  0.50   87660     405   87458  5531474  63.10
  1921           4     0.00447  0.00446  0.50   87255     389   87060  5444017  62.39
  1921           5     0.00367  0.00366  0.50   86866     318   86707  5356956  61.67
  1921           6     0.00330  0.00329  0.50   86548     285   86405  5270249  60.89
  1921           7     0.00323  0.00323  0.50   86263     278   86124  5183844  60.09
  1921           8     0.00262  0.00261  0.50   85984     225   85872  5097720  59.29
  1921           9     0.00227  0.00227  0.50   85760     195   85662  5011848  58.44
  1921          10     0.00204  0.00204  0.50   85565     174   85478  4926186  57.57
  1921          11     0.00208  0.00208  0.50   85391     177   85302  4840708  56.69
  1921          12     0.00183  0.00183  0.50   85214     156   85136  4755405  55.81
  1921          13     0.00180  0.00180  0.50   85058     153   84981  4670270  54.91
  1921          14     0.00186  0.00186  0.50   84905     158   84826  4585288  54.01
  1921          15     0.00222  0.00222  0.50   84747     188   84653  4500463  53.10
  1921          16     0.00217  0.00217  0.50   84559     184   84467  4415810  52.22
  1921          17     0.00299  0.00298  0.50   84375     252   84249  4331343  51.33
  1921          18     0.00305  0.00305  0.50   84123     256   83995  4247094  50.49
  1921          19     0.00328  0.00328  0.50   83867     275   83730  4163099  49.64
  1921          20     0.00294  0.00294  0.50   83592     246   83469  4079369  48.80
  1921          21     0.00375  0.00374  0.50   83347     312   83191  3995900  47.94
  1921          22     0.00340  0.00339  0.50   83035     281   82894  3912709  47.12
  1921          23     0.00377  0.00376  0.50   82753     311   82598  3829815  46.28
  1921          24     0.00392  0.00391  0.50   82442     323   82281  3747217  45.45
  1921          25     0.00413  0.00412  0.50   82120     339   81950  3664936  44.63
  1921          26     0.00446  0.00445  0.50   81781     364   81599  3582986  43.81
  1921          27     0.00405  0.00404  0.50   81417     329   81253  3501387  43.01
  1921          28     0.00445  0.00444  0.50   81088     360   80908  3420134  42.18
  1921          29     0.00425  0.00424  0.50   80729     342   80558  3339226  41.36
  1921          30     0.00430  0.00430  0.50   80387     345   80214  3258668  40.54
  1921          31     0.00384  0.00384  0.50   80041     307   79888  3178454  39.71
  1921          32     0.00443  0.00442  0.50   79734     352   79558  3098567  38.86
  1921          33     0.00408  0.00408  0.50   79382     324   79220  3019009  38.03
  1921          34     0.00455  0.00454  0.50   79058     359   78879  2939788  37.19
  1921          35     0.00540  0.00538  0.50   78699     424   78487  2860910  36.35
  1921          36     0.00499  0.00497  0.50   78275     389   78081  2782422  35.55
  1921          37     0.00536  0.00534  0.50   77886     416   77678  2704342  34.72
  1921          38     0.00560  0.00558  0.50   77470     432   77254  2626664  33.91
  1921          39     0.00479  0.00478  0.50   77038     368   76853  2549410  33.09
  1921          40     0.00633  0.00631  0.50   76669     484   76427  2472557  32.25
  1921          41     0.00497  0.00495  0.50   76185     377   75996  2396129  31.45
  1921          42     0.00716  0.00713  0.50   75808     541   75537  2320133  30.61
  1921          43     0.00556  0.00555  0.50   75267     418   75058  2244595  29.82
  1921          44     0.00628  0.00626  0.50   74850     469   74615  2169537  28.99
  1921          45     0.00805  0.00802  0.50   74381     597   74083  2094922  28.16
  1921          46     0.00700  0.00698  0.50   73784     515   73527  2020839  27.39
  1921          47     0.00632  0.00630  0.50   73270     462   73039  1947312  26.58
  1921          48     0.00755  0.00752  0.50   72808     548   72534  1874273  25.74
  1921          49     0.00713  0.00711  0.50   72260     514   72003  1801739  24.93
  1921          50     0.00981  0.00976  0.50   71746     700   71396  1729736  24.11
  1921          51     0.00818  0.00815  0.50   71046     579   70757  1658340  23.34
  1921          52     0.01158  0.01152  0.50   70468     811   70062  1587583  22.53
  1921          53     0.01094  0.01088  0.50   69656     758   69277  1517521  21.79
  1921          54     0.01185  0.01178  0.50   68898     811   68492  1448244  21.02
  1921          55     0.01310  0.01301  0.50   68087     886   67644  1379751  20.26
  1921          56     0.01298  0.01290  0.50   67201     867   66767  1312108  19.53
  1921          57     0.01349  0.01340  0.50   66334     889   65890  1245340  18.77
  1921          58     0.01747  0.01732  0.50   65445    1134   64879  1179451  18.02
  1921          59     0.01714  0.01699  0.50   64312    1093   63766  1114572  17.33
  1921          60     0.02295  0.02269  0.50   63219    1434   62502  1050806  16.62
  1921          61     0.01762  0.01747  0.50   61785    1079   61245   988304  16.00
  1921          62     0.02200  0.02176  0.50   60706    1321   60045   927059  15.27
  1921          63     0.02388  0.02360  0.50   59384    1401   58684   867014  14.60
  1921          64     0.02460  0.02430  0.50   57983    1409   57279   808330  13.94
  1921          65     0.03247  0.03196  0.50   56574    1808   55670   751051  13.28
  1921          66     0.03048  0.03003  0.50   54766    1644   53944   695381  12.70
  1921          67     0.03382  0.03325  0.50   53122    1767   52239   641437  12.07
  1921          68     0.04095  0.04013  0.50   51355    2061   50325   589199  11.47
  1921          69     0.03631  0.03566  0.50   49294    1758   48416   538874  10.93
  1921          70     0.05682  0.05525  0.50   47537    2627   46223   490458  10.32
  1921          71     0.04727  0.04618  0.50   44910    2074   43873   444235   9.89
  1921          72     0.05952  0.05780  0.50   42836    2476   41598   400362   9.35
  1921          73     0.06570  0.06361  0.50   40360    2567   39076   358764   8.89
  1921          74     0.06663  0.06448  0.50   37793    2437   36574   319687   8.46
  1921          75     0.08006  0.07698  0.50   35356    2722   33995   283113   8.01
  1921          76     0.08589  0.08235  0.50   32634    2687   31290   249118   7.63
  1921          77     0.08490  0.08144  0.50   29947    2439   28727   217828   7.27
  1921          78     0.11067  0.10487  0.50   27508    2885   26065   189101   6.87
  1921          79     0.09261  0.08851  0.50   24623    2179   23533   163035   6.62
  1921          80     0.11396  0.10782  0.50   22444    2420   21234   139502   6.22
  1921          81     0.09199  0.08795  0.50   20024    1761   19143   118268   5.91
  1921          82     0.11609  0.10973  0.50   18263    2004   17261    99125   5.43
  1921          83     0.14447  0.13474  0.50   16259    2191   15164    81864   5.04
  1921          84     0.16385  0.15144  0.50   14068    2130   13003    66701   4.74
  1921          85     0.15915  0.14742  0.50   11938    1760   11058    53698   4.50
  1921          86     0.17857  0.16393  0.50   10178    1668    9344    42640   4.19
  1921          87     0.21933  0.19766  0.50    8509    1682    7668    33296   3.91
  1921          88     0.23347  0.20906  0.50    6827    1427    6114    25628   3.75
  1921          89     0.22568  0.20279  0.50    5400    1095    4853    19514   3.61
  1921          90     0.24368  0.21721  0.50    4305     935    3837    14662   3.41
