Sweden, Death rates (period 1x1), 	Last modified: 22 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1751           0             0.212235        0.241105        0.226774
  1751           1             0.049412        0.052949        0.051169
  1751           2             0.032247        0.034587        0.033409
  1751           3             0.026006        0.027883        0.026936
  1751           4             0.023696        0.025692        0.024681
  1751           5             0.018761        0.020801        0.019766
  1751           6             0.012956        0.014635        0.013788
  1751           7             0.008769        0.010147        0.009457
  1751           8             0.006078        0.007238        0.006660
  1751           9             0.004939        0.005895        0.005421
  1751          10             0.005203        0.006013        0.005610
  1751          11             0.005747        0.006496        0.006121
  1751          12             0.006169        0.006858        0.006511
  1751          13             0.006427        0.007054        0.006738
  1751          14             0.006469        0.007040        0.006752
  1751          15             0.006123        0.006743        0.006429
  1751          16             0.005699        0.006413        0.006047
  1751          17             0.005518        0.006323        0.005907
  1751          18             0.005520        0.006552        0.006010
  1751          19             0.005650        0.007048        0.006298
  1751          20             0.006000        0.007683        0.006771
  1751          21             0.006465        0.008280        0.007297
  1751          22             0.006891        0.008732        0.007736
  1751          23             0.007262        0.008916        0.008030
  1751          24             0.007633        0.008989        0.008271
  1751          25             0.007930        0.009018        0.008446
  1751          26             0.008175        0.009055        0.008592
  1751          27             0.008516        0.009244        0.008860
  1751          28             0.008977        0.009533        0.009239
  1751          29             0.009590        0.009883        0.009728
  1751          30             0.010573        0.010544        0.010560
  1751          31             0.011694        0.011391        0.011551
  1751          32             0.012615        0.012080        0.012362
  1751          33             0.013243        0.012474        0.012877
  1751          34             0.013412        0.012494        0.012971
  1751          35             0.012609        0.011815        0.012227
  1751          36             0.011485        0.010955        0.011231
  1751          37             0.010826        0.010521        0.010680
  1751          38             0.010646        0.010562        0.010606
  1751          39             0.010987        0.011123        0.011051
  1751          40             0.012344        0.012622        0.012473
  1751          41             0.014193        0.014649        0.014404
  1751          42             0.015663        0.016413        0.016012
  1751          43             0.016706        0.017884        0.017260
  1751          44             0.017227        0.019202        0.018164
  1751          45             0.016054        0.019381        0.017631
  1751          46             0.014112        0.018543        0.016193
  1751          47             0.012858        0.017946        0.015219
  1751          48             0.012243        0.017612        0.014700
  1751          49             0.012249        0.017671        0.014691
  1751          50             0.013801        0.019310        0.016263
  1751          51             0.016564        0.022299        0.019129
  1751          52             0.019331        0.025471        0.022064
  1751          53             0.021908        0.028557        0.024842
  1751          54             0.024118        0.031066        0.027161
  1751          55             0.024088        0.030671        0.026946
  1751          56             0.022892        0.028848        0.025451
  1751          57             0.022714        0.028405        0.025132
  1751          58             0.023171        0.029318        0.025735
  1751          59             0.024118        0.031610        0.027155
  1751          60             0.026959        0.036260        0.030656
  1751          61             0.030839        0.041454        0.035037
  1751          62             0.034601        0.045751        0.039025
  1751          63             0.038739        0.049388        0.043019
  1751          64             0.043066        0.051701        0.046620
  1751          65             0.045601        0.052251        0.048372
  1751          66             0.046595        0.052625        0.049087
  1751          67             0.048112        0.053984        0.050509
  1751          68             0.050455        0.056786        0.052994
  1751          69             0.053857        0.061702        0.056928
  1751          70             0.061241        0.070142        0.064687
  1751          71             0.072623        0.080625        0.075756
  1751          72             0.084802        0.091409        0.087422
  1751          73             0.097948        0.102861        0.099921
  1751          74             0.111584        0.114314        0.112696
  1751          75             0.115448        0.119204        0.116971
  1751          76             0.110234        0.118118        0.113354
  1751          77             0.106671        0.117652        0.110908
  1751          78             0.105101        0.118496        0.110131
  1751          79             0.109393        0.122111        0.114109
  1751          80             0.124528        0.134586        0.128260
  1751          81             0.145070        0.154148        0.148430
  1751          82             0.165252        0.174797        0.168771
  1751          83             0.183802        0.195466        0.188088
  1751          84             0.196774        0.213194        0.202788
  1751          85             0.199524        0.225474        0.208952
  1751          86             0.199498        0.235252        0.212423
  1751          87             0.200329        0.241707        0.215387
  1751          88             0.202300        0.248792        0.219296
  1751          89             0.208351        0.261923        0.227783
  1751          90             0.274338        0.298171        0.282925
  1751          91             0.294239        0.318449        0.302984
  1751          92             0.315758        0.339948        0.324533
  1751          93             0.339280        0.361591        0.347434
  1751          94             0.364173        0.381381        0.370546
  1751          95             0.390004        0.400472        0.393939
  1751          96             0.418875        0.422915        0.420415
  1751          97             0.452144        0.453301        0.452589
  1751          98             0.485479        0.483089        0.484551
  1751          99             0.524419        0.508250        0.518003
  1751         100             0.574742        0.546605        0.563363
  1751         101             0.623111        0.606272        0.616344
  1751         102             0.712831        0.672464        0.696172
  1751         103             0.914567        0.703887        0.816568
  1751         104             1.277228        0.886108        1.082763
  1751         105             1.862069        1.662162        1.774146
  1751         106             2.340000        4.148148        2.861210
  1751         107             6.000000              .        6.000000
  1751         108                   .              .              .
  1751         109                   .              .              .
  1751         110+                  .              .              .
  1752           0             0.246347        0.274426        0.260578
  1752           1             0.072521        0.077993        0.075238
  1752           2             0.048300        0.051176        0.049728
  1752           3             0.033862        0.038111        0.035972
  1752           4             0.029736        0.035509        0.032590
  1752           5             0.027264        0.032160        0.029675
  1752           6             0.020704        0.023093        0.021884
  1752           7             0.015602        0.016157        0.015878
  1752           8             0.011935        0.011390        0.011663
  1752           9             0.009493        0.008621        0.009054
  1752          10             0.008120        0.007487        0.007800
  1752          11             0.007591        0.007333        0.007461
  1752          12             0.007177        0.007186        0.007181
  1752          13             0.006972        0.007104        0.007037
  1752          14             0.006961        0.007072        0.007016
  1752          15             0.007099        0.007079        0.007089
  1752          16             0.006804        0.006906        0.006854
  1752          17             0.006553        0.006837        0.006690
  1752          18             0.006433        0.006966        0.006688
  1752          19             0.006385        0.007391        0.006859
  1752          20             0.006345        0.008016        0.007113
  1752          21             0.006585        0.008560        0.007492
  1752          22             0.006809        0.008958        0.007795
  1752          23             0.007018        0.009140        0.007994
  1752          24             0.007202        0.008986        0.008033
  1752          25             0.007435        0.008710        0.008037
  1752          26             0.007568        0.008413        0.007969
  1752          27             0.007797        0.008264        0.008019
  1752          28             0.008125        0.008278        0.008197
  1752          29             0.008575        0.008406        0.008495
  1752          30             0.009110        0.008582        0.008862
  1752          31             0.009952        0.009120        0.009559
  1752          32             0.010577        0.009686        0.010156
  1752          33             0.010923        0.010202        0.010581
  1752          34             0.010882        0.010577        0.010736
  1752          35             0.010455        0.010822        0.010632
  1752          36             0.009506        0.010517        0.009992
  1752          37             0.008983        0.010328        0.009627
  1752          38             0.008960        0.010348        0.009621
  1752          39             0.009431        0.010642        0.010002
  1752          40             0.010249        0.011182        0.010684
  1752          41             0.011930        0.012639        0.012260
  1752          42             0.013288        0.013984        0.013611
  1752          43             0.014082        0.014951        0.014488
  1752          44             0.014212        0.015507        0.014823
  1752          45             0.013802        0.015921        0.014810
  1752          46             0.012159        0.015244        0.013611
  1752          47             0.011214        0.014799        0.012885
  1752          48             0.010971        0.014731        0.012702
  1752          49             0.011329        0.015030        0.013009
  1752          50             0.012005        0.015602        0.013612
  1752          51             0.014292        0.018012        0.015957
  1752          52             0.016469        0.020625        0.018329
  1752          53             0.018212        0.023335        0.020493
