Age,lx,qx,Lx,ex
0,100000,0.00389,99652,82.86553
1,99611,0.00016,99601,82.18913
2,99594,0.00012,99588,81.20232
3,99583,0.00009,99578,80.212
4,99574,0.00008,99570,79.21903
5,99566,0.00008,99562,78.22542
6,99558,0.00007,99554,77.2314
7,99551,0.00007,99547,76.23707
8,99544,0.00007,99540,75.24243
9,99537,0.00007,99533,74.24761
10,99530,0.00008,99526,73.25286
11,99522,0.00009,99518,72.25833
12,99514,0.00011,99508,71.2645
13,99503,0.00013,99497,70.27202
14,99490,0.00016,99482,69.28121
15,99474,0.00019,99464,68.29236
16,99454,0.00022,99444,67.3055
17,99432,0.00024,99420,66.32031
18,99408,0.00026,99396,65.33628
19,99383,0.00027,99369,64.353
20,99356,0.00027,99343,63.37006
21,99329,0.00028,99315,62.38718
22,99302,0.00028,99288,61.40422
23,99274,0.00029,99259,60.42145
24,99245,0.00031,99229,59.43902
25,99214,0.00033,99198,58.45718
26,99181,0.00035,99164,57.47629
27,99146,0.00037,99128,56.49633
28,99109,0.0004,99090,55.51722
29,99070,0.00043,99049,54.53912
30,99027,0.00047,99004,53.56239
31,98981,0.00051,98956,52.58729
32,98930,0.00056,98903,51.61405
33,98875,0.00061,98845,50.64264
34,98815,0.00066,98782,49.67316
35,98749,0.00071,98714,48.70574
36,98679,0.00075,98642,47.74002
37,98605,0.00079,98566,46.77548
38,98527,0.00084,98486,45.81212
39,98444,0.00089,98401,44.85013
40,98357,0.00096,98310,43.88971
41,98262,0.00103,98212,42.93125
42,98161,0.00112,98107,41.97509
43,98051,0.00123,97991,41.02172
44,97930,0.00134,97866,40.07151
45,97799,0.00146,97728,39.12471
46,97656,0.00159,97579,38.18128
47,97500,0.00174,97417,37.24134
48,97331,0.00191,97239,36.30531
49,97145,0.00209,97045,35.37372
50,96942,0.00229,96833,34.44671
51,96721,0.0025,96602,33.52449
52,96479,0.00271,96350,32.60713
53,96217,0.00294,96078,31.69446
54,95935,0.00317,95784,30.78636
55,95630,0.00342,95469,29.88273
56,95303,0.00368,95130,28.98353
57,94953,0.00397,94766,28.08876
58,94576,0.00428,94376,27.19862
59,94171,0.00461,93956,26.3134
60,93737,0.00494,93508,25.43282
61,93274,0.00528,93030,24.55662
62,92781,0.00565,92522,23.68431
63,92257,0.00607,91980,22.81609
64,91697,0.00656,91400,21.95236
65,91095,0.00715,90774,21.09403
66,90443,0.00786,90093,20.24233
67,89733,0.00867,89350,19.39863
68,88955,0.00958,88535,18.56388
69,88103,0.01059,87643,17.73852
70,87169,0.01174,86666,16.92294
71,86146,0.01306,85593,16.11798
72,85021,0.01459,84411,15.32456
73,83780,0.01637,83107,14.54391
74,82409,0.01839,81665,13.77742
75,80894,0.02072,80070,13.02606
76,79218,0.02339,78308,12.29085
77,77365,0.02647,76359,11.57298
78,75317,0.03005,74205,10.87385
79,73054,0.03415,71828,10.19497
80,70559,0.03891,69210,9.53747
81,67814,0.0444,66334,8.90296
82,64803,0.05074,63185,8.29299
83,61515,0.05797,59759,7.70911
84,57949,0.06623,56057,7.15227
85,54111,0.07554,52092,6.62359
86,50023,0.08594,47896,6.12344
87,45724,0.09768,43510,5.65168
88,41258,0.11085,38986,5.20888
89,36685,0.12565,34388,4.79556
90,32075,0.14215,29795,4.41263
91,27516,0.16016,25302,4.06099
92,23109,0.17979,21011,3.74052
93,18954,0.20082,17020,3.45192
94,15147,0.22275,13417,3.19569
95,11773,0.24217,10296,2.97194
96,8922,0.26124,7707,2.76763
97,6591,0.28154,5617,2.57707
98,4736,0.3023,3979,2.40086
99,3304,0.32602,2728,2.23695
100,2227,0.34695,4663,2.09384
