,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File MIGR/1: Net migration rate by region, subregion and country, 1950-2100 (per 1,000 population)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/MIGR/F01,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Net migration rate (per 1,000 population)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1,Estimates,WORLD,,900,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Estimates,More developed regions,a,901,0.2,0.0,0.5,0.7,1.3,1.3,1.1,1.3,1.9,2.3,2.6,2.7,1.8
3,Estimates,Less developed regions,b,902,-0.1,-0.0,-0.2,-0.3,-0.5,-0.4,-0.3,-0.4,-0.5,-0.6,-0.6,-0.6,-0.4
4,Estimates,Least developed countries,c,941,-0.5,-0.5,-0.7,-0.6,-2.9,-2.2,-2.8,-1.5,0.4,-1.3,-1.1,-2.4,-1.3
5,Estimates,"Less developed regions, excluding least developed countries",d,934,-0.0,0.0,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.6,-0.5,-0.5,-0.3,-0.2
6,Estimates,"Less developed regions, excluding China",,948,-0.1,-0.0,-0.2,-0.4,-0.6,-0.6,-0.5,-0.5,-0.7,-0.8,-0.7,-0.7,-0.4
7,Estimates,High-income countries,e,1503,0.3,0.7,1.1,1.1,1.8,1.7,1.4,1.8,2.2,2.8,3.3,4.0,2.7
8,Estimates,Middle-income countries,e,1517,-0.0,-0.2,-0.3,-0.4,-0.5,-0.3,-0.1,-0.3,-0.6,-0.6,-0.7,-0.8,-0.5
9,Estimates,Upper-middle-income countries,e,1502,-0.0,-0.3,-0.6,-0.4,-0.4,-0.3,-0.0,-0.3,-0.6,-0.3,-0.4,-0.2,0.2
10,Estimates,Lower-middle-income countries,e,1501,0.0,-0.1,-0.0,-0.3,-0.5,-0.3,-0.2,-0.4,-0.6,-0.8,-1.1,-1.2,-1.1
11,Estimates,Low-income countries,e,1500,-1.5,-0.6,-0.6,-0.1,-1.2,-2.5,-4.0,-2.0,0.5,-1.0,-0.4,-1.2,-0.7
12,Estimates,Sub-Saharan Africa,f,947,-0.2,-0.2,-0.2,-0.2,-0.6,-0.5,-0.7,-0.5,-0.0,-0.3,-0.2,-0.2,-0.3
