year,age,age_cat,pop,opioid_deaths
1999,0,0-4,19135544,12
1999,5,5-9,20606460,2
1999,10,10-14,20213364,4
1999,15,15-19,20084602,157
1999,20,20-24,18591429,464
1999,25,25-29,19575057,707
1999,30,30-34,20603349,957
1999,35,35-39,22882549,1481
1999,40,40-44,22194128,1757
1999,45,45-49,19654207,1374
1999,50,50-54,16923612,611
1999,55,55-59,13084821,236
1999,60,60-64,10693205,118
1999,65,65-69,9541498,63
1999,70,70-74,8877411,33
1999,75,75-79,7342606,30
1999,80,80-84,4882308,24
1999,85,85+,4154018,14
2000,0,0-4,19178293,14
2000,5,5-9,20463852,4
2000,10,10-14,20637696,13
2000,15,15-19,20294955,189
2000,20,20-24,19116667,539
2000,25,25-29,19280263,694
2000,30,30-34,20524234,946
2000,35,35-39,22650852,1463
2000,40,40-44,22517991,1814
2000,45,45-49,20219527,1485
2000,50,50-54,17779447,698
2000,55,55-59,13565937,288
2000,60,60-64,10863129,107
2000,65,65-69,9523909,53
2000,70,70-74,8860028,36
2000,75,75-79,7438619,18
2000,80,80-84,4984540,18
2000,85,85+,4262472,18
2001,0,0-4,19298217,19
2001,5,5-9,20173362,2
2001,10,10-14,20978678,16
2001,15,15-19,20456284,263
2001,20,20-24,19757286,681
2001,25,25-29,18819347,736
2001,30,30-34,20652175,1019
2001,35,35-39,22235918,1563
2001,40,40-44,22815834,1941
2001,45,45-49,20698983,1660
2001,50,50-54,18687285,920
2001,55,55-59,13968975,338
2001,60,60-64,11136320,155
2001,65,65-69,9562233,60
2001,70,70-74,8821946,39
2001,75,75-79,7455413,35
2001,80,80-84,5138205,19
2001,85,85+,4312494,23
2002,0,0-4,19429192,23
2002,5,5-9,19872417,2
2002,10,10-14,21261421,17
2002,15,15-19,20610370,316
2002,20,20-24,20243765,863
2002,25,25-29,18691340,926
2002,30,30-34,20658306,1283
2002,35,35-39,21751218,1855
2002,40,40-44,22889431,2373
2002,45,45-49,21252288,2073
2002,50,50-54,18739906,1286
2002,55,55-59,15143067,455
2002,60,60-64,11560265,191
2002,65,65-69,9638481,106
2002,70,70-74,8750054,50
2002,75,75-79,7470461,40
2002,80,80-84,5294403,20
2002,85,85+,4368808,34
2003,0,0-4,19592446,24
2003,5,5-9,19620851,6
2003,10,10-14,21415353,12
2003,15,15-19,20797166,373
2003,20,20-24,20591688,1026
2003,25,25-29,18771585,1055
2003,30,30-34,20472210,1360
2003,35,35-39,21264159,1825
2003,40,40-44,22890047,2405
2003,45,45-49,21722676,2339
2003,50,50-54,19097278,1418
2003,55,55-59,15814557,594
2003,60,60-64,12194388,228
2003,65,65-69,9830796,113
2003,70,70-74,8670119,57
2003,75,75-79,7497842,38
2003,80,80-84,5398596,31
2003,85,85+,4466176,33
2004,0,0-4,19785885,26
2004,5,5-9,19454237,2
2004,10,10-14,21411680,28
2004,15,15-19,21102552,454
2004,20,20-24,20845560,1142
2004,25,25-29,19107055,1249
2004,30,30-34,20159501,1324
2004,35,35-39,20874649,1726
2004,40,40-44,22925626,2503
2004,45,45-49,22065262,2448
2004,50,50-54,19564668,1553
2004,55,55-59,16607176,725
2004,60,60-64,12698128,280
2004,65,65-69,10073429,123
2004,70,70-74,8594104,63
2004,75,75-79,7461399,51
2004,80,80-84,5528504,28
2004,85,85+,4545883,27
2005,0,0-4,19917400,27
2005,5,5-9,19389067,8
2005,10,10-14,21212579,17
2005,15,15-19,21486214,437
2005,20,20-24,20959955,1248
2005,25,25-29,19534710,1420
2005,30,30-34,19723937,1490
2005,35,35-39,20798653,1754
2005,40,40-44,22706885,2422
2005,45,45-49,22417171,2676
2005,50,50-54,20078733,1861
2005,55,55-59,17503220,857
2005,60,60-64,13138277,337
2005,65,65-69,10278627,156
2005,70,70-74,8603070,73
2005,75,75-79,7463609,49
2005,80,80-84,5611193,38
2005,85,85+,4693299,47
2006,0,0-4,19938883,32
2006,5,5-9,19544688,5
2006,10,10-14,21033138,26
2006,15,15-19,21807709,535
2006,20,20-24,21036135,1561
2006,25,25-29,20110011,1799
2006,30,30-34,19285168,1731
2006,35,35-39,20941233,1995
2006,40,40-44,22302568,2663
2006,45,45-49,22715286,3028
2006,50,50-54,20570873,2266
2006,55,55-59,18396860,1161
2006,60,60-64,13533253,361
2006,65,65-69,10553201,160
2006,70,70-74,8649826,77
2006,75,75-79,7447034,45
2006,80,80-84,5648117,55
2006,85,85+,4865929,40
2007,0,0-4,20125962,39
2007,5,5-9,19714611,7
2007,10,10-14,20841042,33
2007,15,15-19,22067816,587
2007,20,20-24,21077999,1589
2007,25,25-29,20542698,1993
2007,30,30-34,19170765,1825
2007,35,35-39,20963891,2075
2007,40,40-44,21832339,2621
2007,45,45-49,22799761,3020
2007,50,50-54,21140178,2455
2007,55,55-59,18454772,1366
2007,60,60-64,14673662,481
2007,65,65-69,10970235,183
2007,70,70-74,8728492,94
2007,75,75-79,7400363,47
2007,80,80-84,5687076,45
2007,85,85+,5039545,54
2008,0,0-4,20271127,44
2008,5,5-9,19929602,7
2008,10,10-14,20706655,31
2008,15,15-19,22210880,599
2008,20,20-24,21180612,1695
2008,25,25-29,20902668,2087
2008,30,30-34,19304805,1939
2008,35,35-39,20817463,2159
2008,40,40-44,21375023,2554
2008,45,45-49,22820973,3149
2008,50,50-54,21639474,2725
2008,55,55-59,18814568,1532
2008,60,60-64,15342495,582
2008,65,65-69,11594347,244
2008,70,70-74,8911332,99
2008,75,75-79,7345743,51
2008,80,80-84,5730359,45
2008,85,85+,5195840,39
2009,0,0-4,20244518,36
2009,5,5-9,20182499,3
2009,10,10-14,20660564,21
2009,15,15-19,22192810,551
2009,20,20-24,21384122,1678
2009,25,25-29,21078228,2288
2009,30,30-34,19645114,2072
2009,35,35-39,20507796,2108
2009,40,40-44,20980015,2596
2009,45,45-49,22862245,3253
2009,50,50-54,22004843,2769
2009,55,55-59,19280603,1708
2009,60,60-64,16124997,774
2009,65,65-69,12092377,276
2009,70,70-74,9140722,127
2009,75,75-79,7295064,78
2009,80,80-84,5727711,39
2009,85,85+,5367301,43
2010,0,0-4,20188815,37
2010,5,5-9,20331229,9
2010,10,10-14,20680642,31
2010,15,15-19,21981217,550
2010,20,20-24,21701481,1837
2010,25,25-29,21143162,2352
2010,30,30-34,20068468,2323
2010,35,35-39,20077880,2250
2010,40,40-44,20903792,2511
2010,45,45-49,22635453,3059
2010,50,50-54,22351881,2882
2010,55,55-59,19793973,1840
2010,60,60-64,16989310,860
2010,65,65-69,12520772,256
2010,70,70-74,9336093,118
2010,75,75-79,7319802,57
2010,80,80-84,5759207,46
2010,85,85+,5542908,70
2011,0,0-4,20123103,44
2011,5,5-9,20332518,6
2011,10,10-14,20713010,21
2011,15,15-19,21659079,556
2011,20,20-24,22160176,1989
2011,25,25-29,21282038,2569
2011,30,30-34,20515870,2715
2011,35,35-39,19601023,2372
2011,40,40-44,21038413,2684
2011,45,45-49,22164875,3199
2011,50,50-54,22565954,3059
2011,55,55-59,20258034,2038
2011,60,60-64,17812967,914
2011,65,65-69,12879310,351
2011,70,70-74,9607502,111
2011,75,75-79,7387183,49
2011,80,80-84,5778425,51
2011,85,85+,5700529,52
2012,0,0-4,19976066,43
2012,5,5-9,20467161,5
2012,10,10-14,20670087,18
2012,15,15-19,21370267,424
2012,20,20-24,22587686,1920
2012,25,25-29,21387181,2575
2012,30,30-34,20910686,2844
2012,35,35-39,19494930,2461
2012,40,40-44,21027331,2625
2012,45,45-49,21689990,3157
2012,50,50-54,22575934,3142
2012,55,55-59,20769239,2196
2012,60,60-64,17811521,1025
2012,65,65-69,13981390,413
2012,70,70-74,10011650,134
2012,75,75-79,7490273,87
2012,80,80-84,5777568,40
2012,85,85+,5875258,55
2013,0,0-4,19849214,38
2013,5,5-9,20567352,6
2013,10,10-14,20651300,15
2013,15,15-19,21178925,422
2013,20,20-24,22814705,2064
2013,25,25-29,21572894,2820
2013,30,30-34,21271294,3091
2013,35,35-39,19611120,2606
2013,40,40-44,20850261,2783
2013,45,45-49,21211724,3122
2013,50,50-54,22552995,3347
2013,55,55-59,21177266,2554
2013,60,60-64,18110159,1319
2013,65,65-69,14593975,481
2013,70,70-74,10600633,199
2013,75,75-79,7675857,76
2013,80,80-84,5758600,43
2013,85,85+,6009453,63
2014,0,0-4,19872353,42
2014,5,5-9,20515054,4
2014,10,10-14,20666075,18
2014,15,15-19,21054605,416
2014,20,20-24,22877086,2290
2014,25,25-29,21955493,3378
2014,30,30-34,21505310,3650
2014,35,35-39,19881218,3206
2014,40,40-44,20541648,3132
2014,45,45-49,20832053,3343
2014,50,50-54,22519029,3644
2014,55,55-59,21464932,2975
2014,60,60-64,18531780,1477
2014,65,65-69,15299770,616
2014,70,70-74,11059539,245
2014,75,75-79,7911439,97
2014,80,80-84,5751393,44
2014,85,85+,6147644,68
2015,0,0-4,19918105,55
2015,5,5-9,20476743,8
2015,10,10-14,20604887,20
2015,15,15-19,21083170,506
2015,20,20-24,22672432,2576
2015,25,25-29,22414862,4081
2015,30,30-34,21637918,4487
2015,35,35-39,20316918,3990
2015,40,40-44,20147089,3494
2015,45,45-49,20777178,3712
2015,50,50-54,22264254,3883
2015,55,55-59,21742613,3310
2015,60,60-64,19018808,1779
2015,65,65-69,16035020,758
2015,70,70-74,11463642,208
2015,75,75-79,8109550,105
2015,80,80-84,5789786,58
2015,85,85+,6269698,59
2016,0,0-4,19922365,50
2016,5,5-9,20432396,10
2016,10,10-14,20620680,23
2016,15,15-19,21135528,586
2016,20,20-24,22358548,3441
2016,25,25-29,22918599,5614
2016,30,30-34,21824917,5938
2016,35,35-39,20790976,5406
2016,40,40-44,19694145,4341
2016,45,45-49,20924678,4494
2016,50,50-54,21811909,4580
2016,55,55-59,21952344,4065
2016,60,60-64,19460273,2256
2016,65,65-69,16807456,900
2016,70,70-74,11802525,313
2016,75,75-79,8365665,111
2016,80,80-84,5865375,61
2016,85,85+,6382963,56
2017,0,0-4,19891967,45
2017,5,5-9,20304937,3
2017,10,10-14,20765794,31
2017,15,15-19,21103332,507
2017,20,20-24,22065664,3587
2017,25,25-29,23336175,6373
2017,30,30-34,21938443,6808
2017,35,35-39,21190454,6308
2017,40,40-44,19590752,4841
2017,45,45-49,20916186,5080
2017,50,50-54,21347575,5127
2017,55,55-59,21959910,4523
2017,60,60-64,19942009,2630
2017,65,65-69,16803000,1097
2017,70,70-74,12829683,345
2017,75,75-79,8730528,145
2017,80,80-84,5960298,62
2017,85,85+,6470414,75
