year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,0,0-4,181127,AR,West South Central,18986520,2,1.1041976072037851e-5,-11.413806541100074
1999,0,0-4,354631,MD,South Atlantic,18986520,1,2.819832445556085e-6,-12.778833091248954
1999,0,0-4,369129,MO,West North Central,18986520,1,2.7090800235148144e-6,-12.818901455425031
1999,0,0-4,529289,NC,South Atlantic,18986520,1,1.8893270028283226e-6,-13.179289875465003
1999,0,0-4,582968,GA,South Atlantic,18986520,1,1.7153600197609473e-6,-13.275887575318482
1999,0,0-4,757189,OH,East North Central,18986520,1,1.3206742306082101e-6,-13.53736817100629
1999,0,0-4,881966,IL,East North Central,18986520,2,2.2676611116528303e-6,-12.996761604933127
1999,0,0-4,1617191,TX,West South Central,18986520,1,6.183561496446617e-7,-14.296201251558891
1999,0,0-4,2512147,CA,Pacific,18986520,2,7.961317550286668e-7,-14.043501143406385
1999,5,5-9,394395,MD,South Atlantic,19919840,1,2.5355291015352627e-6,-12.88510822414547
1999,5,5-9,1037103,FL,South Atlantic,19919840,1,9.642243827276559e-7,-13.851941807255157
1999,10,10-14,430279,WA,Pacific,20056779,1,2.324073450017314e-6,-12.972189114475192
1999,10,10-14,823530,OH,East North Central,20056779,1,1.214284846939395e-6,-13.621355257808776
1999,10,10-14,1611277,TX,West South Central,20056779,1,6.206257521208333e-7,-14.29253759027124
1999,10,10-14,2497890,CA,Pacific,20056779,1,4.003378851750878e-7,-14.730956933469898
1999,15,15-19,45231,VT,New England,19819518,1,2.2108730737768346e-5,-10.719537971447028
1999,15,15-19,54830,DE,South Atlantic,19819518,2,3.647638154295094e-5,-10.218845587838148
1999,15,15-19,73898,RI,New England,19819518,2,2.706433191696663e-5,-10.517293862410662
1999,15,15-19,81529,HI,Pacific,19819518,1,1.2265574212856775e-5,-11.308714064157964
1999,15,15-19,89060,ME,New England,19819518,1,1.1228385358185493e-5,-11.397065578875694
1999,15,15-19,122575,NV,Mountain,19819518,3,2.447481133999592e-5,-10.617866077851325
1999,15,15-19,213162,CT,New England,19819518,6,2.814760604610578e-5,-10.478048249762029
1999,15,15-19,219171,UT,Mountain,19819518,3,1.3687942291635298e-5,-11.198995237365494
1999,15,15-19,244611,OR,Pacific,19819518,2,8.176247184304876e-6,-11.71427729204593
1999,15,15-19,270348,OK,West South Central,19819518,2,7.39787237190584e-6,-11.814318116405198
1999,15,15-19,295241,SC,South Atlantic,19819518,2,6.774126899719213e-6,-11.90240007039323
1999,15,15-19,302365,CO,Mountain,19819518,3,9.92178327518066e-6,-11.520777887180188
1999,15,15-19,350607,MD,South Atlantic,19819518,9,2.5669767004081492e-5,-10.5701966397067
1999,15,15-19,359836,AZ,Mountain,19819518,1,2.7790437866139017e-6,-12.79340365107978
1999,15,15-19,369278,LA,West South Central,19819518,1,2.7079869366710176e-6,-12.81930502690261
1999,15,15-19,371672,MN,West North Central,19819518,2,5.381088701866162e-6,-12.132619843321129
1999,15,15-19,395646,TN,East South Central,19819518,1,2.5275119677691676e-6,-12.888275151040574
1999,15,15-19,407067,WI,East North Central,19819518,2,4.913196107766043e-6,-12.223585889481159
1999,15,15-19,408407,MA,New England,19819518,5,1.2242689278097583e-5,-11.310581592750424
1999,15,15-19,413459,MO,West North Central,19819518,3,7.255858501084751e-6,-11.833701346294623
1999,15,15-19,424735,WA,Pacific,19819518,6,1.412645531919903e-5,-11.167461254791426
1999,15,15-19,455151,IN,East North Central,19819518,2,4.3941461185408794e-6,-12.335237330448962
1999,15,15-19,478532,VA,South Atlantic,19819518,5,1.0448622035725929e-5,-11.469040450858051
1999,15,15-19,521754,NJ,Middle Atlantic,19819518,11,2.1082732475457782e-5,-10.767056218618636
1999,15,15-19,533703,NC,South Atlantic,19819518,2,3.7474025815856384e-6,-12.494447602881761
1999,15,15-19,589631,GA,South Atlantic,19819518,1,1.6959759578448216e-6,-13.287252196494084
1999,15,15-19,848682,PA,Middle Atlantic,19819518,16,1.8852762283163778e-5,-10.878851114585334
1999,15,15-19,893729,IL,East North Central,19819518,14,1.5664703730101632e-5,-11.064100546595553
1999,15,15-19,992265,FL,South Atlantic,19819518,10,1.0077952966193506e-5,-11.505160394694977
1999,15,15-19,1275530,NY,Middle Atlantic,19819518,9,7.0558904925795555e-6,-11.86164775913935
1999,15,15-19,1619632,TX,West South Central,19819518,13,8.026514665059718e-6,-11.73276016344835
1999,15,15-19,2403117,CA,Pacific,19819518,16,6.6580195637582355e-6,-11.919688480432123
1999,20,20-24,33185,WY,Mountain,18257225,1,3.0134096730450506e-5,-10.409853245580026
1999,20,20-24,37141,VT,New England,18257225,2,5.384884628846827e-5,-9.829329579132365
1999,20,20-24,39451,AK,Pacific,18257225,1,2.534789992649109e-5,-10.58281467449521
1999,20,20-24,50086,DE,South Atlantic,18257225,2,3.9931318132811565e-5,-10.128349626344303
1999,20,20-24,57847,MT,Mountain,18257225,1,1.72869811744775e-5,-10.965556873023031
1999,20,20-24,67321,NH,New England,18257225,3,4.4562617905259875e-5,-10.018615213952925
1999,20,20-24,69602,RI,New England,18257225,1,1.436740323553921e-5,-11.150548581541834
1999,20,20-24,69702,ME,New England,18257225,3,4.3040371868812945e-5,-10.05337200207342
1999,20,20-24,82715,HI,Pacific,18257225,1,1.2089705615668258e-5,-11.323156243041117
1999,20,20-24,92437,ID,Mountain,18257225,3,3.24545366033082e-5,-10.335670321710241
1999,20,20-24,120174,NM,Mountain,18257225,10,8.321267495464909e-5,-9.394110878535242
1999,20,20-24,121695,WV,South Atlantic,18257225,3,2.4651793417971156e-5,-10.610660904829166
1999,20,20-24,123045,NV,Mountain,18257225,6,4.876264781177618e-5,-9.928545951876904
1999,20,20-24,179622,AR,West South Central,18257225,2,1.1134493547560989e-5,-11.405462741220532
1999,20,20-24,185894,CT,New England,18257225,12,6.45529172539189e-5,-9.648025247983782
1999,20,20-24,185908,KS,West North Central,18257225,1,5.379004668976053e-6,-12.133007206672792
1999,20,20-24,217614,UT,Mountain,18257225,4,1.8381170329114856e-5,-10.904183769009713
1999,20,20-24,225328,OR,Pacific,18257225,2,8.875949726620749e-6,-11.632165216877887
1999,20,20-24,244428,OK,West South Central,18257225,3,1.2273552948107418e-5,-11.30806377733403
1999,20,20-24,278087,SC,South Atlantic,18257225,5,1.797998468105305e-5,-10.926251380920437
1999,20,20-24,280619,KY,East South Central,18257225,4,1.4254202317020587e-5,-11.158458795283867
1999,20,20-24,294419,CO,Mountain,18257225,8,2.7172159405473152e-5,-10.51331766011801
1999,20,20-24,307768,MD,South Atlantic,18257225,22,7.148241532582984e-5,-9.546059078011274
1999,20,20-24,313553,MN,West North Central,18257225,6,1.913552094861156e-5,-10.863964214549357
1999,20,20-24,321955,LA,West South Central,18257225,1,3.10602413380752e-6,-12.682167063207592
