Age,mx
0,0.1014
1,0.0984
2,0.0839
3,0.0759
4,0.0679
5,0.0616
6,0.055
7,0.0518
8,0.0438
9,0.0399
10,0.0363
11,0.0342
12,0.0307
13,0.0289
14,0.0267
15,0.0237
16,0.0283
17,0.0294
18,0.0392
19,0.0547
20,0.068
21,0.0933
22,0.1187
23,0.1282
24,0.1303
25,0.1293
26,0.1247
27,0.1163
28,0.1059
29,0.0976
30,0.09
31,0.0817
32,0.0749
33,0.0683
34,0.0626
35,0.058
36,0.0536
37,0.0493
38,0.0459
39,0.0418
40,0.0393
41,0.0358
42,0.0343
43,0.0322
44,0.0298
45,0.0281
46,0.0266
47,0.0248
48,0.0235
49,0.0222
50,0.0208
51,0.0191
52,0.0178
53,0.0171
54,0.0157
55,0.0149
56,0.0139
57,0.0132
58,0.012
59,0.0112
60,0.0116
61,0.0106
62,0.0102
63,0.0109
64,0.0107
65,0.0143
66,0.0135
67,0.0134
68,0.0116
69,0.0099
70,0.0093
71,0.0083
72,0.0078
73,0.0067
74,0.0069
75,0.0054
